;real cost;real running cost;game purchase;game running cost;;
Avro 504;;;;;1,0;1,0
Nieuport-Delage NiD 29;;;;;;0,0
Hawker Hurricane;;;;;2,0;3,0
P-51;;;;;3,0;5,0
F-86;350000;400;;;5,0;10,0
F-4 Phantom;1900000;4000;;;8,0;23,0
F-16;30000000;8000;;;30,0;45,0
F/A-18;57000000;12000;;;63,0;68,0
F-35;80000000;28000;;;74,0;160,0
BAE Tempest;;;;;0,0;0,0
F-104;;;;;0,0;0,0
MiG-15;;;;;0,0;0,0
MiG-19;;;;;0,0;0,0
MiG-29;;;;;0,0;0,0
Su-30;;;;;0,0;0,0
Fokker Dr.I;;;;;0,0;0,0
Polikarpov I-15;;;;;0,0;0,0
Polikarpov I-16;;;;;0,0;0,0
Yak-9;;;;;0,0;0,0
Mirage III;;;;;0,0;0,0
Mirage 2000;;;;;0,0;0,0
JAS-39;;;;;0,0;0,0
Su-57;;;;;0,0;0,0
Rafale;;;;;0,0;0,0
RQ-4;61000000;11000;;;67,0;64,0
;;;;;0,0;0,0
Ju52;;;28710;2390;10,5;63,7
DC-3;70000;;30761;2756;11,2;73,5
BAe146;;;32812;3515;12,0;93,7
Fokker 100;20000000;6000;34863;4078;12,7;108,7
Boeing 727;22000000;12000;36919;6750;13,5;180,0
Boeing 747;26000000;28000;61523;7115;22,5;189,7
Airbus A330;40000000;28000;53320;5906;19,5;157,5
Concorde;65000000;;153808;7031;56,2;187,5
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;2734;600;;;;
